Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
11.2711,-9.09947,16.4235,21.8991,0,1,0
11.137,-8.5341,16.5743,21.7157,0.600329,1,1
10.4624,-7.21807,17.0137,21.2374,2.14303,1,2
10.1462,-6.55748,17.2025,21.0207,2.89937,1,3
9.06372,-4.90193,17.8123,20.5781,4.96928,1,4
8.98108,-4.7596,17.8487,20.5399,5.13782,1,5
8.83589,-4.55006,17.9303,20.5006,5.40552,1,6
7.52263,-2.92133,18.4028,20.0944,7.55042,1,7
5.35659,-0.603462,19.2257,19.9671,10.8278,1,8
4.9827,-0.271799,19.3415,19.9748,11.3409,1,9
4.76873,-0.093701,19.3927,19.9706,11.6239,1,10
3.61611,0.936357,19.6314,19.9836,13.1881,1,11
2.56838,1.7506,19.8051,20.0475,14.5263,1,12
1.6558,2.46655,19.8862,20.1069,15.689,1,13
0.201664,3.49266,19.9344,20.2391,17.4694,1,14
-0.250278,3.80065,19.964,20.3241,18.0171,1,15
-1.06917,4.31801,19.9239,20.4145,18.9866,1,16
-1.6243,4.62229,19.8378,20.4339,19.6255,1,17
-3.48456,5.77858,19.543,20.6752,21.8356,1,18
-5.14482,6.63491,19.3258,21.0708,23.7162,1,19
-5.15133,6.63856,19.3243,21.0722,23.7238,1,20
-5.16489,6.64542,19.3202,21.0739,23.7396,1,21
-6.29324,7.2092,18.9525,21.2314,25.0535,1,22
-8.09027,8.01201,18.2001,21.4683,27.1606,1,23
-9.70763,8.73839,17.3983,21.7554,29.1064,1,24
-10.4201,9.10753,17.0203,21.9367,29.9934,1,25
-10.4508,9.10822,17.0429,21.969,0,2,0
-10.4205,9.06712,17.0625,21.9529,0.0547004,2,1
-8.97991,7.6405,17.7393,21.3002,2.19212,2,2
-8.43326,7.02104,18.0418,21.1168,3.07192,2,3
-6.49164,5.36888,18.854,20.6504,5.74759,2,4
-6.0385,4.93565,19.0033,20.5414,6.39204,2,5
-5.07875,4.12967,19.3,20.3798,7.67996,2,6
-4.84121,3.89135,19.3687,20.3403,8.0234,2,7
-4.51423,3.58319,19.4343,20.2709,8.47746,2,8
-3.96381,3.13129,19.5424,20.1847,9.19778,2,9
-2.64946,2.03763,19.7454,20.0263,10.9197,2,10
-1.81862,1.43963,19.8238,19.959,11.9463,2,11
-0.448097,0.37554,19.9293,19.9379,13.6846,2,12
0.178187,-0.118833,19.9284,19.9296,14.4825,2,13
1.46205,-1.21493,19.9152,20.0057,16.1707,2,14
2.28802,-1.84063,19.8257,20.042,17.2108,2,15
3.76069,-3.01766,19.6407,20.2239,19.1051,2,16
3.77742,-3.02995,19.6377,20.2259,19.126,2,17
3.80605,-3.04981,19.6301,20.2269,19.1617,2,18
6.59639,-5.3594,18.7923,20.6249,22.8795,2,19
8.00788,-6.48265,18.3135,21.0127,24.7459,2,20
8.25327,-6.70576,18.1965,21.076,25.0975,2,21
8.30868,-6.75789,18.1723,21.0935,25.1774,2,22
8.56528,-6.97179,18.0543,21.1643,25.5317,2,23
9.77209,-8.00841,17.4236,21.5223,27.243,2,24
10.1249,-8.30508,17.2404,21.6499,27.7391,2,25
10.3219,-8.48944,17.1182,21.7174,28.0353,2,26
10.4362,-8.55607,17.0354,21.7331,28.1913,2,27
10.9766,-8.98841,16.6418,21.8684,28.9875,2,28
11.2585,-9.10703,16.4122,21.8873,29.3699,2,29
-11.2711,-9.09947,-16.4235,21.8991,0,3,0
-11.137,-8.5341,-16.5743,21.7157,0.600329,3,1
-10.4624,-7.21807,-17.0137,21.2374,2.14303,3,2
-10.1462,-6.55748,-17.2025,21.0207,2.89937,3,3
-9.06372,-4.90193,-17.8123,20.5781,4.96928,3,4
-8.98108,-4.7596,-17.8487,20.5399,5.13782,3,5
-8.83589,-4.55006,-17.9303,20.5006,5.40552,3,6
-7.52263,-2.92133,-18.4028,20.0944,7.55042,3,7
-5.35659,-0.603462,-19.2257,19.9671,10.8278,3,8
-4.9827,-0.271799,-19.3415,19.9748,11.3409,3,9
-4.76873,-0.093701,-19.3927,19.9706,11.6239,3,10
-3.61611,0.936357,-19.6314,19.9836,13.1881,3,11
-2.56838,1.7506,-19.8051,20.0475,14.5263,3,12
-1.6558,2.46655,-19.8862,20.1069,15.689,3,13
-0.201664,3.49266,-19.9344,20.2391,17.4694,3,14
0.250278,3.80065,-19.964,20.3241,18.0171,3,15
1.06917,4.31801,-19.9239,20.4145,18.9866,3,16
1.6243,4.62229,-19.8378,20.4339,19.6255,3,17
3.48456,5.77858,-19.543,20.6752,21.8356,3,18
5.14482,6.63491,-19.3258,21.0708,23.7162,3,19
5.15133,6.63856,-19.3243,21.0722,23.7238,3,20
5.16489,6.64542,-19.3202,21.0739,23.7396,3,21
6.29324,7.2092,-18.9525,21.2314,25.0535,3,22
8.09027,8.01201,-18.2001,21.4683,27.1606,3,23
9.70763,8.73839,-17.3983,21.7554,29.1064,3,24
10.4201,9.10753,-17.0203,21.9367,29.9934,3,25
10.4508,9.10822,-17.0429,21.969,0,4,0
10.4205,9.06712,-17.0625,21.9529,0.0547004,4,1
8.97991,7.6405,-17.7393,21.3002,2.19212,4,2
8.43326,7.02104,-18.0418,21.1168,3.07192,4,3
6.49164,5.36888,-18.854,20.6504,5.74759,4,4
6.0385,4.93565,-19.0033,20.5414,6.39204,4,5
5.07875,4.12967,-19.3,20.3798,7.67996,4,6
4.84121,3.89135,-19.3687,20.3403,8.0234,4,7
4.51423,3.58319,-19.4343,20.2709,8.47746,4,8
3.96381,3.13129,-19.5424,20.1847,9.19778,4,9
2.64946,2.03763,-19.7454,20.0263,10.9197,4,10
1.81862,1.43963,-19.8238,19.959,11.9463,4,11
0.448097,0.37554,-19.9293,19.9379,13.6846,4,12
-0.178187,-0.118833,-19.9284,19.9296,14.4825,4,13
-1.46205,-1.21493,-19.9152,20.0057,16.1707,4,14
-2.28802,-1.84063,-19.8257,20.042,17.2108,4,15
-3.76069,-3.01766,-19.6407,20.2239,19.1051,4,16
-3.77742,-3.02995,-19.6377,20.2259,19.126,4,17
-3.80605,-3.04981,-19.6301,20.2269,19.1617,4,18
-6.59639,-5.3594,-18.7923,20.6249,22.8795,4,19
-8.00788,-6.48265,-18.3135,21.0127,24.7459,4,20
-8.25327,-6.70576,-18.1965,21.076,25.0975,4,21
-8.30868,-6.75789,-18.1723,21.0935,25.1774,4,22
-8.56528,-6.97179,-18.0543,21.1643,25.5317,4,23
-9.77209,-8.00841,-17.4236,21.5223,27.243,4,24
-10.1249,-8.30508,-17.2404,21.6499,27.7391,4,25
-10.3219,-8.48944,-17.1182,21.7174,28.0353,4,26
-10.4362,-8.55607,-17.0354,21.7331,28.1913,4,27
-10.9766,-8.98841,-16.6418,21.8684,28.9875,4,28
-11.2585,-9.10703,-16.4122,21.8873,29.3699,4,29
17.0134,9.10756,10.4105,21.9268,0,5,0
17.1632,8.79577,10.1723,21.8041,0.420049,5,1
17.7334,7.65583,8.99569,21.3074,2.15466,5,2
18.0675,6.9625,8.36931,21.094,3.14699,5,3
18.3547,6.36146,7.60685,20.8621,4.15945,5,4
18.9849,5.01693,6.06998,20.5534,6.29646,5,5
19.1512,4.5345,5.55111,20.4486,7.02422,5,6
19.2477,4.19833,5.21754,20.3795,7.50753,5,7
19.392,3.46068,4.25484,20.1526,8.7289,5,8
19.5636,2.65964,3.41837,20.0373,9.89971,5,9
19.7245,2.12506,2.76183,20.03,10.7615,5,10
19.8174,1.42273,1.79458,19.9493,11.9605,5,11
19.9418,0.117004,0.1314,19.9426,14.0786,5,12
19.9419,-0.26058,-0.34195,19.9465,14.6841,5,13
19.9306,-1.07291,-1.28529,20.0008,15.9291,5,14
19.8189,-1.86988,-2.3257,20.0424,17.2444,5,15
19.6532,-2.90716,-3.60624,20.1917,18.9006,5,16
19.6274,-3.01392,-3.74984,20.2084,19.0814,5,17
19.562,-3.1852,-3.99351,20.218,19.3864,5,18
19.1695,-4.18619,-5.23055,20.3065,21.0254,5,19
18.781,-5.34827,-6.5685,20.6028,22.8396,5,20
18.2156,-6.69495,-8.25095,21.0881,25.0676,5,21
18.2064,-6.71082,-8.27291,21.0938,25.0962,5,22
18.1974,-6.72777,-8.29364,21.0996,25.1244,5,23
17.4226,-8.00854,-9.7714,21.5213,27.2279,5,24
17.2184,-8.33964,-10.1638,21.664,27.7804,5,25
17.1269,-8.47843,-10.3116,21.715,28.0029,5,26
17.061,-8.53202,-10.4034,21.728,28.1279,5,27
16.6466,-8.986,-10.9727,21.8691,28.9657,5,28
16.4125,-9.10674,-11.259,21.8876,29.3548,5,29
16.4224,-9.10125,-11.2692,21.898,0,6,0
16.7148,-8.10634,-10.9588,21.5683,1.08243,6,1
16.7609,-7.93423,-10.8746,21.4973,1.2795,6,2
16.7881,-7.85598,-10.8151,21.4597,1.3815,6,3
17.4055,-5.93352,-9.77137,20.824,3.65447,6,4
17.5191,-5.66096,-9.55868,20.7445,4.01836,6,5
17.6653,-5.31928,-9.3204,20.6695,4.45985,6,6
17.8774,-4.73952,-8.94112,20.5429,5.1844,6,7
18.0154,-4.32143,-8.66536,20.4528,5.70388,6,8
18.0703,-4.15857,-8.54947,20.4187,5.91118,6,9
18.3757,-3.01437,-7.61711,20.119,7.41841,6,10
19.1947,-0.69686,-5.45108,19.9659,10.6946,6,11
19.3399,-0.272599,-4.98335,19.9735,11.3425,6,12
19.3946,-0.0821051,-4.75482,19.9691,11.645,6,13
19.445,0.343437,-4.26728,19.9107,12.2941,6,14
19.7577,1.66185,-2.63077,20.0012,14.4188,6,15
19.8071,2.08333,-2.14574,20.0316,15.0633,6,16
19.8862,2.45131,-1.67627,20.1067,15.665,6,17
19.9352,3.48974,-0.205938,20.2394,17.4657,6,18
19.9643,3.79317,0.239084,20.3228,18.0051,6,19
19.9237,4.31902,1.07086,20.4145,18.99,6,20
19.8364,4.62679,1.6323,20.4342,19.6362,6,21
19.5438,5.77791,3.48344,20.6756,21.8356,6,22
