Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
17.4482,-6.75242,38.6927,42.9786,0,1,0
17.2453,-6.57357,38.806,42.9711,0.293274,1,1
16.7954,-6.31784,39.0181,42.9467,0.852551,1,2
15.214,-5.52239,39.6324,42.81,2.72628,1,3
13.4868,-4.68557,40.2701,42.7262,4.74869,1,4
12.6932,-4.34927,40.5197,42.6835,5.64597,1,5
10.8115,-3.51181,41.0865,42.6301,7.78228,1,6
10.4356,-3.35882,41.1881,42.6221,8.20059,1,7
8.72341,-2.62807,41.5795,42.566,10.1029,1,8
8.04932,-2.36462,41.7112,42.5465,10.8385,1,9
3.75395,-0.623385,42.3042,42.475,15.5112,1,10
3.08979,-0.37312,42.3597,42.4738,16.2231,1,11
2.42063,-0.136733,42.3888,42.4581,16.9334,1,12
-0.615795,1.04976,42.4103,42.4277,20.1935,1,13
-3.95699,2.23794,42.2888,42.5324,23.7417,1,14
-4.38969,2.40358,42.2651,42.5603,24.2057,1,15
-6.07618,2.99971,41.9834,42.5267,26.0164,1,16
-9.56245,4.22557,41.3966,42.6963,29.7583,1,17
-10.0566,4.39124,41.2726,42.7065,30.294,1,18
-12.9841,5.41002,40.4326,42.8095,33.5055,1,19
-14.2347,5.81363,40.0389,42.8899,34.8773,1,20
-14.637,5.94624,39.8889,42.9037,35.3266,1,21
-15.4048,6.16059,39.5727,42.9099,36.1843,1,22
-17.4472,6.74161,38.725,43.0056,38.4707,1,23
-17.4588,6.73826,38.7437,43.0266,0,2,0
-17.4408,6.73092,38.7531,43.0267,0.0215516,2,1
-17.2768,6.66505,38.8201,43.0106,0.210602,2,2
-14.3667,5.49414,39.984,42.8405,3.55637,2,3
-13.5735,5.19285,40.2355,42.7796,4.44136,2,4
-12.2484,4.65406,40.6591,42.7182,5.93321,2,5
-10.8579,4.12865,41.0455,42.6576,7.46902,2,6
-9.40719,3.54612,41.4202,42.6228,9.07661,2,7
-8.42207,3.17855,41.6412,42.6031,10.1511,2,8
-3.56026,1.34044,42.3277,42.4983,15.3939,2,9
-3.23246,1.2135,42.3745,42.5149,15.7485,2,10
-3.11611,1.16669,42.3792,42.5096,15.874,2,11
0.538318,-0.198585,42.4126,42.4165,19.7753,2,12
3.74764,-1.41298,42.3106,42.4997,23.2082,2,13
4.17789,-1.56705,42.2769,42.5117,23.6664,2,14
4.5607,-1.70306,42.2318,42.5115,24.0752,2,15
8.38058,-3.1583,41.6107,42.5636,28.2098,2,16
9.23212,-3.4815,41.4731,42.6307,29.1309,2,17
9.40067,-3.54744,41.4431,42.6437,29.3144,2,18
11.2642,-4.2658,40.9734,42.7071,31.366,2,19
11.3682,-4.31037,40.9456,42.7125,31.4826,2,20
11.547,-4.37975,40.8949,42.7189,31.681,2,21
13.4114,-5.11509,40.304,42.7837,33.7704,2,22
13.7417,-5.23815,40.1953,42.8011,34.1393,2,23
14.6439,-5.58781,39.8453,42.8172,35.1682,2,24
17.4458,-6.75019,38.6988,42.9827,38.4111,2,25
-17.4482,-6.75242,-38.6927,42.9786,0,3,0
-17.2453,-6.57357,-38.806,42.9711,0.293274,3,1
-16.7954,-6.31784,-39.0181,42.9467,0.852551,3,2
-15.214,-5.52239,-39.6324,42.81,2.72628,3,3
-13.4868,-4.68557,-40.2701,42.7262,4.74869,3,4
-12.6932,-4.34927,-40.5197,42.6835,5.64597,3,5
-10.8115,-3.51181,-41.0865,42.6301,7.78228,3,6
-10.4356,-3.35882,-41.1881,42.6221,8.20059,3,7
-8.72341,-2.62807,-41.5795,42.566,10.1029,3,8
-8.04932,-2.36462,-41.7112,42.5465,10.8385,3,9
-3.75395,-0.623385,-42.3042,42.475,15.5112,3,10
-3.08979,-0.37312,-42.3597,42.4738,16.2231,3,11
-2.42063,-0.136733,-42.3888,42.4581,16.9334,3,12
0.615795,1.04976,-42.4103,42.4277,20.1935,3,13
3.95699,2.23794,-42.2888,42.5324,23.7417,3,14
4.38969,2.40358,-42.2651,42.5603,24.2057,3,15
