Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
13.8437,-8.31836,23.6971,28.6775,0,1,0
13.752,-8.18923,23.7787,28.6637,0.178107,1,1
13.5847,-7.87584,23.904,28.6003,0.554821,1,2
13.1643,-7.32622,24.1434,28.4583,1.28701,1,3
13.0635,-7.22714,24.1958,28.431,1.4378,1,4
12.8301,-6.99611,24.3176,28.3708,1.78803,1,5
12.1552,-6.31893,24.6611,28.2107,2.80395,1,6
11.8903,-6.05319,24.7929,28.1551,3.20162,1,7
11.6274,-5.79809,24.9122,28.0968,3.58687,1,8
11.1583,-5.39412,25.1142,28.0058,4.23808,1,9
10.1876,-4.50432,25.5052,27.8315,5.61173,1,10
9.55508,-3.92341,25.7293,27.7252,6.49929,1,11
7.06126,-2.00982,26.5682,27.5639,9.75272,1,12
6.99765,-1.95637,26.5849,27.56,9.83747,1,13
6.9027,-1.88094,26.6103,27.5552,9.96135,1,14
3.81011,0.208615,27.1992,27.4656,13.7399,1,15
3.05989,0.711056,27.3015,27.4816,14.6486,1,16
1.19333,1.82144,27.4521,27.5383,16.8257,1,17
0.233539,2.37231,27.4641,27.5673,17.9324,1,18
-1.26764,3.18306,27.4686,27.6815,19.6385,1,19
-1.71144,3.41165,27.4298,27.6941,20.1392,1,20
-3.37953,4.27492,27.2562,27.7956,22.0255,1,21
-3.74266,4.44931,27.2042,27.8186,22.4316,1,22
-4.38353,4.72385,27.096,27.8518,23.1372,1,23
-6.53221,5.7352,26.6685,28.0494,25.5501,1,24
-7.77328,6.25003,26.3334,28.1591,26.9349,1,25
-8.75865,6.67615,26.0451,28.2778,28.0465,1,26
-9.74763,7.06229,25.6926,28.3725,29.1652,1,27
-10.3933,7.32201,25.4223,28.424,29.9118,1,28
-11.0602,7.51613,25.1247,28.4617,30.6674,1,29
-13.5732,8.35864,23.8007,28.6456,33.6302,1,30
-13.5982,8.35428,23.8231,28.6748,0,2,0
-12.0142,7.21377,24.7128,28.4095,2.14508,2,1
-11.5421,6.91045,24.9557,28.3506,2.75652,2,2
-10.4728,6.24489,25.3955,28.1711,4.09061,2,3
-9.32253,5.51167,25.859,28.0353,5.53129,2,4
-8.78285,5.16862,26.034,27.9575,6.19429,2,5
-7.30367,4.2827,26.5012,27.8208,7.98064,2,6
-7.03581,4.12263,26.5836,27.8062,8.30338,2,7
-5.27268,3.06232,26.9604,27.6414,10.395,2,8
-4.6846,2.73184,27.0795,27.6172,11.08,2,9
-4.17228,2.44853,27.1501,27.5777,11.6697,2,10
-3.12898,1.82869,27.2954,27.535,12.8919,2,11
-2.30874,1.34171,27.3993,27.5291,13.8515,2,12
-1.93022,1.11187,27.4126,27.503,14.2945,2,13
0.0910927,-0.0511523,27.4792,27.4794,16.6275,2,14
1.13965,-0.625603,27.4169,27.4477,17.8247,2,15
3.38956,-2.00686,27.2185,27.502,20.4722,2,16
5.33807,-3.08654,26.9171,27.6144,22.7201,2,17
6.30651,-3.6985,26.7086,27.6912,23.8846,2,18
6.85543,-4.03695,26.5779,27.7431,24.5425,2,19
8.20352,-4.79783,26.1692,27.8414,26.1436,2,20
9.63447,-5.69991,25.7208,28.0512,27.8936,2,21
10.3084,-6.09285,25.4586,28.1341,28.7165,2,22
11.7579,-7.07325,24.741,28.2913,30.6079,2,23
13.5292,-8.12921,23.8877,28.6312,32.8396,2,24
13.6558,-8.22357,23.8102,28.6537,33.0155,2,25
13.7497,-8.29776,23.7461,28.6668,33.1513,2,26
13.8315,-8.33071,23.6843,28.6646,33.259,2,27
-13.8437,-8.31836,-23.6971,28.6775,0,3,0
-13.752,-8.18923,-23.7787,28.6637,0.178107,3,1
-13.5847,-7.87584,-23.904,28.6003,0.554821,3,2
