Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
15.2627,-7.82512,28.5362,33.294,0,1,0
14.9759,-7.42105,28.7913,33.291,0.557311,1,1
14.3954,-6.84973,29.1001,33.1808,1.42837,1,2
13.484,-6.17991,29.5428,33.0573,2.64299,1,3
13.1063,-5.86792,29.7214,33.0086,3.16448,1,4
12.0391,-5.11318,30.1623,32.8763,4.54394,1,5
11.1057,-4.46677,30.5225,32.7858,5.73507,1,6
10.6536,-4.20684,30.6673,32.7365,6.27622,1,7
7.26034,-1.9778,31.5487,32.4337,10.4307,1,8
6.3553,-1.49479,31.7399,32.4044,11.4743,1,9
3.85058,-0.110531,32.2272,32.4566,14.3772,1,10
3.48251,0.0729924,32.2711,32.4585,14.7909,1,11
2.62822,0.483359,32.357,32.4672,15.7425,1,12
1.94201,0.844521,32.4162,32.4853,16.5202,1,13
0.745596,1.45837,32.4749,32.5162,17.8662,1,14
-0.841442,2.19674,32.4526,32.5378,19.6167,1,15
-1.95141,2.73394,32.437,32.6105,20.8499,1,16
-4.0727,3.67561,32.2229,32.6866,23.1807,1,17
-4.5512,3.88885,32.1678,32.7201,23.7075,1,18
-4.71628,3.95592,32.147,32.7311,23.8869,1,19
-4.87596,4.02012,32.1209,32.7367,24.0609,1,20
-5.9936,4.48456,31.9124,32.7786,25.2891,1,21
-7.4241,5.08415,31.6317,32.8866,26.8653,1,22
-7.62855,5.16471,31.5763,32.8927,27.092,1,23
-10.0551,6.12317,30.8919,33.0592,29.7892,1,24
-10.7919,6.40145,30.6343,33.1044,30.6179,1,25
-12.2273,6.92977,30.1076,33.2264,32.2356,1,26
-12.6697,7.07071,29.8915,33.2268,32.7477,1,27
-15.2669,7.80769,28.6239,33.3671,35.7302,1,28
-15.3065,7.79609,28.6561,33.4102,0,2,0
-15.1488,7.69875,28.7397,33.3875,0.203339,2,1
-14.6854,7.44834,28.9698,33.3225,0.778106,2,2
-12.8805,6.49523,29.8046,33.1121,2.98335,2,3
-12.5272,6.32555,29.9386,33.0645,3.39761,2,4
-10.3633,5.18391,30.7396,32.8511,5.97197,2,5
-9.5086,4.77634,30.9919,32.7677,6.95188,2,6
-7.78856,3.86996,31.4758,32.6552,8.95543,2,7
-6.04703,3.01344,31.8745,32.5827,10.9367,2,8
-5.21371,2.57158,32.0399,32.563,11.8943,2,9
-3.7121,1.80904,32.2544,32.5177,13.5921,2,10
-2.6283,1.28903,32.3822,32.5143,14.8009,2,11
-1.77548,0.887685,32.4137,32.4744,15.744,2,12
0.0164993,-0.00760912,32.4566,32.4566,17.7476,2,13
2.23224,-1.08044,32.3957,32.4905,20.2102,2,14
2.66769,-1.30834,32.382,32.518,20.7019,2,15
3.80672,-1.8802,32.2449,32.5232,21.9838,2,16
4.9373,-2.44953,32.0831,32.5531,23.2599,2,17
5.3535,-2.6372,32.026,32.5773,23.72,2,18
7.133,-3.51853,31.6836,32.6666,25.7351,2,19
7.90689,-3.91283,31.518,32.7294,26.6193,2,20
9.4344,-4.67249,31.0558,32.7918,28.3868,2,21
10.4448,-5.2183,30.7351,32.8781,29.5791,2,22
12.8897,-6.4917,29.8311,33.1388,32.4802,2,23
12.9355,-6.51813,29.8119,33.1446,32.5365,2,24
12.9601,-6.53356,29.7982,33.1449,32.5686,2,25
15.2364,-7.82885,28.5027,33.2542,35.4905,2,26
-15.2627,-7.82512,-28.5362,33.294,0,3,0
-14.9759,-7.42105,-28.7913,33.291,0.557311,3,1
-14.3954,-6.84973,-29.1001,33.1808,1.42837,3,2
-13.484,-6.17991,-29.5428,33.0573,2.64299,3,3
-13.1063,-5.86792,-29.7214,33.0086,3.16448,3,4
-12.0391,-5.11318,-30.1623,32.8763,4.54394,3,5
-11.1057,-4.46677,-30.5225,32.7858,5.73507,3,6
-10.6536,-4.20684,-30.6673,32.7365,6.27622,3,7
-7.26034,-1.9778,-31.5487,32.4337,10.4307,3,8
-6.3553,-1.49479,-31.7399,32.4044,11.4743,3,9
-3.85058,-0.110531,-32.2272,32.4566,14.3772,3,10
-3.48251,0.0729924,-32.2711,32.4585,14.7909,3,11
-2.62822,0.483359,-32.357,32.4672,15.7425,3,12
-1.94201,0.844521,-32.4162,32.4853,16.5202,3,13
-0.745596,1.45837,-32.4749,32.5162,17.8662,3,14
0.841442,2.19674,-32.4526,32.5378,19.6167,3,15
1.95141,2.73394,-32.437,32.6105,20.8499,3,16
4.0727,3.67561,-32.2229,32.6866,23.1807,3,17
4.5512,3.88885,-32.1678,32.7201,23.7075,3,18
4.71628,3.95592,-32.147,32.7311,23.8869,3,19
4.87596,4.02012,-32.1209,32.7367,24.0609,3,20
5.9936,4.48456,-31.9124,32.7786,25.2891,3,21
7.4241,5.08415,-31.6317,32.8866,26.8653,3,22
7.62855,5.16471,-31.5763,32.8927,27.092,3,23
10.0551,6.12317,-30.8919,33.0592,29.7892,3,24
10.7919,6.40145,-30.6343,33.1044,30.6179,3,25
12.2273,6.92977,-30.1076,33.2264,32.2356,3,26
12.6697,7.07071,-29.8915,33.2268,32.7477,3,27
15.2669,7.80769,-28.6239,33.3671,35.7302,3,28
15.3065,7.79609,-28.6561,33.4102,0,4,0
