Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
15.9467,-7.55829,31.0907,35.75,0,1,0
15.8359,-7.41558,31.1765,35.7455,0.200004,1,1
15.6815,-7.24752,31.2698,35.7244,0.446572,1,2
15.4531,-7.07105,31.3842,35.6899,0.757028,1,3
15.0407,-6.66995,31.5853,35.6138,1.36645,1,4
13.0003,-5.37028,32.4695,35.3852,3.94213,1,5
12.7548,-5.20129,32.5778,35.3702,4.25922,1,6
12.4748,-5.00736,32.6858,35.342,4.61659,1,7
9.42786,-3.25531,33.6618,35.1084,8.26433,1,8
8.76237,-2.81816,33.8347,35.0643,9.0791,1,9
6.83206,-1.78796,34.2424,34.9631,11.3048,1,10
6.02777,-1.34346,34.3989,34.9489,12.237,1,11
3.84889,-0.257072,34.6588,34.8728,14.6855,1,12
1.66348,0.792711,34.8786,34.9272,17.1199,1,13
0.482913,1.30641,34.9253,34.9531,18.4082,1,14
-1.22755,2.03495,34.9299,35.0107,20.2674,1,15
-2.39043,2.56629,34.895,35.0708,21.5464,1,16
-3.06477,2.86681,34.8174,35.0694,22.2887,1,17
-5.89457,4.01648,34.4608,35.1913,25.3639,1,18
-6.86753,4.40768,34.3018,35.2591,26.4245,1,19
-8.59195,5.06685,33.8963,35.3335,28.3147,1,20
-10.1229,5.66486,33.471,35.4241,30.0124,1,21
-11.1638,6.04259,33.0921,35.4433,31.1828,1,22
-13.8888,6.98735,32.1062,35.6725,34.2307,1,23
-14.8,7.23408,31.6795,35.7067,35.2667,1,24
-15.9346,7.54882,31.0798,35.7331,36.5881,1,25
-15.9291,7.54825,31.0742,35.7256,0,2,0
-14.291,6.74837,31.8485,35.5542,1.98063,2,1
-13.3385,6.2454,32.2891,35.4895,3.14436,2,2
-11.2196,5.22794,33.0926,35.3318,5.62845,2,3
-10.7386,4.97419,33.2707,35.3129,6.20065,2,4
-8.16543,3.74708,34.0304,35.1963,9.15093,2,5
