Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
17.896,-6.15599,43.9787,47.8779,0,1,0
17.4172,-5.90369,44.1746,47.8498,0.575585,1,1
16.2034,-5.31584,44.6439,47.79,2.00361,1,2
15.4392,-5.02091,44.9065,47.7512,2.86379,1,3
14.8066,-4.76651,45.1258,47.7315,3.58002,1,4
13.5444,-4.26924,45.5137,47.6778,4.99104,1,5
12.4634,-3.86078,45.8316,47.6526,6.18957,1,6
11.5564,-3.51373,46.0539,47.6115,7.1858,1,7
10.0731,-2.95428,46.3855,47.5584,8.80539,1,8
8.71347,-2.48385,46.6409,47.5128,10.2666,1,9
4.76447,-1.06741,47.2556,47.5072,14.5067,1,10
4.57485,-1.00457,47.274,47.5054,14.7073,1,11
2.45478,-0.272315,47.4336,47.4978,16.956,1,12
2.26357,-0.211217,47.4349,47.4894,17.1567,1,13
-1.42158,1.0589,47.4027,47.4358,21.0547,1,14
-4.41528,2.00516,47.2465,47.4947,24.1983,1,15
-5.13564,2.26151,47.1873,47.5198,24.9652,1,16
-6.45017,2.68387,47.0188,47.535,26.3562,1,17
-7.88829,3.16287,46.7894,47.555,27.8892,1,18
-9.28543,3.58719,46.547,47.5994,29.3694,1,19
-11.5022,4.31846,46.0247,47.6363,31.7614,1,20
-13.9572,5.06983,45.3767,47.7446,34.4092,1,21
-14.3317,5.18216,45.2785,47.7744,34.8124,1,22
-14.7011,5.27924,45.1494,47.7751,35.2156,1,23
-18.0748,6.24066,43.8311,47.8206,38.9631,1,24
-18.0546,6.2528,43.775,47.7631,0,2,0
-17.0712,5.85068,44.2906,47.8259,1.18098,2,1
-16.0679,5.51146,44.6495,47.7717,2.29923,2,2
-15.0325,5.13251,45.0226,47.7426,3.46324,2,3
-12.7226,4.31351,45.764,47.695,6.02374,2,4
-12.714,4.31042,45.7667,47.6951,6.03322,2,5
-12.703,4.30649,45.7696,47.6945,6.04524,2,6
-10.7247,3.61822,46.2238,47.5894,8.18855,2,7
-9.18453,3.1174,46.5436,47.5434,9.83936,2,8
-7.40527,2.48891,46.8742,47.5208,11.7551,2,9
-3.8753,1.30974,47.3051,47.4816,15.5017,2,10
-3.09003,1.03678,47.3759,47.4879,16.336,2,11
-2.56523,0.848877,47.4008,47.4777,16.894,2,12
0.726938,-0.243966,47.4204,47.4266,20.3629,2,13
4.43635,-1.48885,47.2879,47.5189,24.2779,2,14
4.50918,-1.51493,47.2822,47.5209,24.3554,2,15
4.59527,-1.54552,47.272,47.52,24.4474,2,16
8.62851,-2.90885,46.6447,47.5252,28.7508,2,17
10.4866,-3.55538,46.2982,47.6039,30.7484,2,18
11.4561,-3.87243,46.0707,47.6314,31.7935,2,19
13.6983,-4.66099,45.4704,47.7171,34.2449,2,20
15.5414,-5.31687,44.8616,47.7741,36.2938,2,21
16.094,-5.50221,44.6784,47.8064,36.9047,2,22
17.9066,-6.15706,43.9829,47.8858,38.9537,2,23
-17.896,-6.15599,-43.9787,47.8779,0,3,0
-17.4172,-5.90369,-44.1746,47.8498,0.575585,3,1
-16.2034,-5.31584,-44.6439,47.79,2.00361,3,2
-15.4392,-5.02091,-44.9065,47.7512,2.86379,3,3
-14.8066,-4.76651,-45.1258,47.7315,3.58002,3,4
-13.5444,-4.26924,-45.5137,47.6778,4.99104,3,5
-12.4634,-3.86078,-45.8316,47.6526,6.18957,3,6
-11.5564,-3.51373,-46.0539,47.6115,7.1858,3,7
-10.0731,-2.95428,-46.3855,47.5584,8.80539,3,8
-8.71347,-2.48385,-46.6409,47.5128,10.2666,3,9
-4.76447,-1.06741,-47.2556,47.5072,14.5067,3,10
-4.57485,-1.00457,-47.274,47.5054,14.7073,3,11
-2.45478,-0.272315,-47.4336,47.4978,16.956,3,12
-2.26357,-0.211217,-47.4349,47.4894,17.1567,3,13
1.42158,1.0589,-47.4027,47.4358,21.0547,3,14
4.41528,2.00516,-47.2465,47.4947,24.1983,3,15
5.13564,2.26151,-47.1873,47.5198,24.9652,3,16
6.45017,2.68387,-47.0188,47.535,26.3562,3,17
7.88829,3.16287,-46.7894,47.555,27.8892,3,18
9.28543,3.58719,-46.547,47.5994,29.3694,3,19
11.5022,4.31846,-46.0247,47.6363,31.7614,3,20
13.9572,5.06983,-45.3767,47.7446,34.4092,3,21
14.3317,5.18216,-45.2785,47.7744,34.8124,3,22
14.7011,5.27924,-45.1494,47.7751,35.2156,3,23
18.0748,6.24066,-43.8311,47.8206,38.9631,3,24
18.0546,6.2528,-43.775,47.7631,0,4,0
17.0712,5.85068,-44.2906,47.8259,1.18098,4,1
16.0679,5.51146,-44.6495,47.7717,2.29923,4,2
15.0325,5.13251,-45.0226,47.7426,3.46324,4,3
12.7226,4.31351,-45.764,47.695,6.02374,4,4
12.714,4.31042,-45.7667,47.6951,6.03322,4,5
12.703,4.30649,-45.7696,47.6945,6.04524,4,6
10.7247,3.61822,-46.2238,47.5894,8.18855,4,7
9.18453,3.1174,-46.5436,47.5434,9.83936,4,8
7.40527,2.48891,-46.8742,47.5208,11.7551,4,9
3.8753,1.30974,-47.3051,47.4816,15.5017,4,10
3.09003,1.03678,-47.3759,47.4879,16.336,4,11
2.56523,0.848877,-47.4008,47.4777,16.894,4,12
-0.726938,-0.243966,-47.4204,47.4266,20.3629,4,13
-4.43635,-1.48885,-47.2879,47.5189,24.2779,4,14
-4.50918,-1.51493,-47.2822,47.5209,24.3554,4,15
-4.59527,-1.54552,-47.272,47.52,24.4474,4,16
