Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
17.0244,-7.01677,36.1358,40.5569,0,1,0
16.4117,-6.47692,36.4778,40.5207,0.885278,1,1
16.3971,-6.46633,36.4846,40.5192,0.904596,1,2
16.19,-6.35711,36.5728,40.4981,1.1548,1,3
14.9583,-5.70711,37.0964,40.4038,2.64262,1,4
14.747,-5.6044,37.1748,40.3838,2.89035,1,5
12.4342,-4.43378,37.9867,40.2151,5.60664,1,6
11.5192,-3.96587,38.2496,40.1429,6.66751,1,7
9.66801,-3.10621,38.7535,40.0618,8.7698,1,8
8.6083,-2.65393,38.9957,40.0226,9.94719,1,9
7.0217,-1.92179,39.3544,40.0221,11.731,1,10
5.20239,-1.16357,39.6306,39.9876,13.7212,1,11
4.11796,-0.685923,39.7692,39.9877,14.9143,1,12
2.00872,0.188421,39.8891,39.9401,17.2007,1,13
0.683984,0.736242,39.951,39.9637,18.6356,1,14
-0.274865,1.11091,39.9578,39.9742,19.6651,1,15
-1.00525,1.37065,39.9313,39.9674,20.4407,1,16
-2.71899,2.02671,39.8373,39.9813,22.2781,1,17
-4.52345,2.73692,39.7061,40.0565,24.2218,1,18
-5.54055,3.1236,39.5773,40.0851,25.3175,1,19
-8.46006,4.19137,39.0488,40.174,28.4707,1,20
-9.88082,4.71774,38.7024,40.2214,30.025,1,21
-12.8248,5.73518,37.8699,40.3917,33.2491,1,22
-13.2134,5.87547,37.7445,40.4198,33.6809,1,23
-13.4042,5.93807,37.6734,40.4254,33.8939,1,24
-14.4944,6.29763,37.2629,40.4756,35.1131,1,25
-15.4042,6.55128,36.87,40.492,36.136,1,26
-17.0407,7.01387,36.1619,40.5865,37.9782,1,27
-16.9966,7.02068,36.1118,40.5245,0,2,0
-15.1666,6.17913,36.9565,40.4226,2.18411,2,1
-14.1898,5.77825,37.3754,40.3938,3.32002,2,2
-11.4036,4.60411,38.332,40.2565,6.49129,2,3
-11.2625,4.54359,38.3776,40.2533,6.6514,2,4
-11.2249,4.52606,38.3874,40.2502,6.69402,2,5
-8.28932,3.34486,39.0324,40.0428,9.92344,2,6
-6.67659,2.64031,39.3529,40.0025,11.7123,2,7
-4.00454,1.59758,39.7878,40.0207,14.6134,2,8
-2.49895,0.98566,39.8667,39.9571,16.2405,2,9
-0.403612,0.142674,39.9519,39.9542,18.5006,2,10
0.371623,-0.146949,39.959,39.961,19.3282,2,11
1.22853,-0.471202,39.9317,39.9534,20.2448,2,12
2.23668,-0.874527,39.8692,39.9414,21.3325,2,13
4.49626,-1.78322,39.689,39.9827,23.7746,2,14
5.11023,-2.05645,39.6188,39.9999,24.4503,2,15
5.91179,-2.37586,39.527,40.0372,25.318,2,16
7.7711,-3.1033,39.1959,40.0792,27.3418,2,17
8.3165,-3.31355,39.0584,40.0713,27.9423,2,18
11.7162,-4.76904,38.1507,40.1932,31.7502,2,19
12.7613,-5.17465,37.8545,40.2814,32.9098,2,20
14.1441,-5.785,37.3509,40.356,34.5029,2,21
16.8879,-6.9356,36.2536,40.591,37.6741,2,22
17.0509,-7.01252,36.1721,40.5996,37.8719,2,23
-17.0244,-7.01677,-36.1358,40.5569,0,3,0
-16.4117,-6.47692,-36.4778,40.5207,0.885278,3,1
-16.3971,-6.46633,-36.4846,40.5192,0.904596,3,2
-16.19,-6.35711,-36.5728,40.4981,1.1548,3,3
-14.9583,-5.70711,-37.0964,40.4038,2.64262,3,4
-14.747,-5.6044,-37.1748,40.3838,2.89035,3,5
-12.4342,-4.43378,-37.9867,40.2151,5.60664,3,6
-11.5192,-3.96587,-38.2496,40.1429,6.66751,3,7
-9.66801,-3.10621,-38.7535,40.0618,8.7698,3,8
-8.6083,-2.65393,-38.9957,40.0226,9.94719,3,9
-7.0217,-1.92179,-39.3544,40.0221,11.731,3,10
-5.20239,-1.16357,-39.6306,39.9876,13.7212,3,11
-4.11796,-0.685923,-39.7692,39.9877,14.9143,3,12
-2.00872,0.188421,-39.8891,39.9401,17.2007,3,13
-0.683984,0.736242,-39.951,39.9637,18.6356,3,14
0.274865,1.11091,-39.9578,39.9742,19.6651,3,15
