Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
14.5236,-8.08202,26.0158,30.872,0,1,0
13.947,-7.26948,26.5289,30.8407,1.12068,1,1
13.8964,-7.17463,26.5668,30.8282,1.2347,1,2
13.751,-7.03227,26.6516,30.8035,1.45511,1,3
12.3125,-5.84091,27.3366,30.5452,3.44454,1,4
12.1148,-5.65962,27.4334,30.5187,3.72971,1,5
11.7316,-5.32959,27.5975,30.4575,4.26139,1,6
10.5625,-4.43632,28.0247,30.2759,5.79345,1,7
8.867,-3.16669,28.6257,30.1344,7.99527,1,8
6.29859,-1.48111,29.315,30.0205,11.1438,1,9
5.98908,-1.27285,29.3888,30.0198,11.524,1,10
5.79554,-1.14312,29.4266,30.0137,11.7601,1,11
3.47811,0.249326,29.7657,29.9693,14.4849,1,12
2.64293,0.741744,29.8387,29.9647,15.4571,1,13
0.956727,1.64929,29.9333,29.994,17.3744,1,14
-1.30504,2.78854,29.9485,30.1063,19.9069,1,15
-1.63623,2.96828,29.9441,30.1353,20.2838,1,16
-1.84955,3.07868,29.9219,30.1367,20.525,1,17
-4.18979,4.20249,29.587,30.1762,23.1426,1,18
-7.20129,5.49262,29.0786,30.4564,26.458,1,19
-7.60869,5.66338,28.9986,30.5104,26.9069,1,20
-8.29478,5.93372,28.8127,30.5644,27.6675,1,21
-9.44536,6.40828,28.4465,30.651,28.9648,1,22
-10.2738,6.73283,28.1182,30.6841,29.9132,1,23
-11.1034,7.06651,27.7709,30.7318,30.8725,1,24
-13.6703,7.8137,26.6255,30.9329,33.7809,1,25
-14.0181,7.92452,26.4556,30.971,34.1836,1,26
-14.5088,8.06377,26.2161,31.0292,34.7471,1,27
-14.4872,8.07185,26.2001,31.0077,0,2,0
-12.3094,6.72787,27.3549,30.7421,2.80762,2,1
-12.2716,6.70743,27.3737,30.7392,2.85455,2,2
-12.19,6.66267,27.4062,30.726,2.9531,2,3
-9.90834,5.36132,28.2995,30.4595,5.72755,2,4
-8.50442,4.5948,28.732,30.3144,7.38453,2,5
-7.4884,4.01581,29.046,30.2634,8.59536,2,6
-5.574,2.97089,29.4577,30.1272,10.8149,2,7
-5.00385,2.66858,29.5708,30.1097,11.4701,2,8
-4.80459,2.56739,29.5993,30.0964,11.6954,2,9
-3.64329,1.94265,29.7506,30.0357,13.0227,2,10
-2.49373,1.32453,29.8942,30.0272,14.3358,2,11
-0.797134,0.436449,29.9593,29.9731,16.2519,2,12
0.0408907,-0.0219473,29.9882,29.9883,17.2075,2,13
0.872341,-0.476987,29.9563,29.9728,18.1559,2,14
2.57301,-1.36699,29.8866,30.0283,20.0766,2,15
3.20656,-1.71875,29.7877,30.009,20.808,2,16
6.01579,-3.23664,29.3478,30.1324,24.0312,2,17
7.01416,-3.7507,29.1481,30.2139,25.1718,2,18
9.75024,-5.26637,28.3562,30.4446,28.3983,2,19
9.95247,-5.38051,28.2949,30.4729,28.6385,2,20
9.99441,-5.40695,28.2817,30.4791,28.6898,2,21
10.1697,-5.50915,28.2135,30.4922,28.9038,2,22
12.3295,-6.75424,27.3083,30.7145,31.556,2,23
13.6223,-7.56396,26.5897,30.8187,33.2423,2,24
14.5424,-8.08752,26.066,30.9245,34.4234,2,25
-14.5236,-8.08202,-26.0158,30.872,0,3,0
-13.947,-7.26948,-26.5289,30.8407,1.12068,3,1
-13.8964,-7.17463,-26.5668,30.8282,1.2347,3,2
-13.751,-7.03227,-26.6516,30.8035,1.45511,3,3
-12.3125,-5.84091,-27.3366,30.5452,3.44454,3,4
-12.1148,-5.65962,-27.4334,30.5187,3.72971,3,5
-11.7316,-5.32959,-27.5975,30.4575,4.26139,3,6
-10.5625,-4.43632,-28.0247,30.2759,5.79345,3,7
-8.867,-3.16669,-28.6257,30.1344,7.99527,3,8
-6.29859,-1.48111,-29.315,30.0205,11.1438,3,9
-5.98908,-1.27285,-29.3888,30.0198,11.524,3,10
-5.79554,-1.14312,-29.4266,30.0137,11.7601,3,11
-3.47811,0.249326,-29.7657,29.9693,14.4849,3,12
-2.64293,0.741744,-29.8387,29.9647,15.4571,3,13
-0.956727,1.64929,-29.9333,29.994,17.3744,3,14
1.30504,2.78854,-29.9485,30.1063,19.9069,3,15
1.63623,2.96828,-29.9441,30.1353,20.2838,3,16
1.84955,3.07868,-29.9219,30.1367,20.525,3,17
4.18979,4.20249,-29.587,30.1762,23.1426,3,18
7.20129,5.49262,-29.0786,30.4564,26.458,3,19
7.60869,5.66338,-28.9986,30.5104,26.9069,3,20
8.29478,5.93372,-28.8127,30.5644,27.6675,3,21
9.44536,6.40828,-28.4465,30.651,28.9648,3,22
10.2738,6.73283,-28.1182,30.6841,29.9132,3,23
11.1034,7.06651,-27.7709,30.7318,30.8725,3,24
13.6703,7.8137,-26.6255,30.9329,33.7809,3,25
14.0181,7.92452,-26.4556,30.971,34.1836,3,26
14.5088,8.06377,-26.2161,31.0292,34.7471,3,27
14.4872,8.07185,-26.2001,31.0077,0,4,0
12.3094,6.72787,-27.3549,30.7421,2.80762,4,1
12.2716,6.70743,-27.3737,30.7392,2.85455,4,2
12.19,6.66267,-27.4062,30.726,2.9531,4,3
9.90834,5.36132,-28.2995,30.4595,5.72755,4,4
8.50442,4.5948,-28.732,30.3144,7.38453,4,5
7.4884,4.01581,-29.046,30.2634,8.59536,4,6
5.574,2.97089,-29.4577,30.1272,10.8149,4,7
5.00385,2.66858,-29.5708,30.1097,11.4701,4,8
4.80459,2.56739,-29.5993,30.0964,11.6954,4,9
3.64329,1.94265,-29.7506,30.0357,13.0227,4,10
2.49373,1.32453,-29.8942,30.0272,14.3358,4,11
0.797134,0.436449,-29.9593,29.9731,16.2519,4,12
-0.0408907,-0.0219473,-29.9882,29.9883,17.2075,4,13
-0.872341,-0.476987,-29.9563,29.9728,18.1559,4,14
-2.57301,-1.36699,-29.8866,30.0283,20.0766,4,15
-3.20656,-1.71875,-29.7877,30.009,20.808,4,16
-6.01579,-3.23664,-29.3478,30.1324,24.0312,4,17
-7.01416,-3.7507,-29.1481,30.2139,25.1718,4,18
-9.75024,-5.26637,-28.3562,30.4446,28.3983,4,19
-9.95247,-5.38051,-28.2949,30.4729,28.6385,4,20
-9.99441,-5.40695,-28.2817,30.4791,28.6898,4,21
-10.1697,-5.50915,-28.2135,30.4922,28.9038,4,22
-12.3295,-6.75424,-27.3083,30.7145,31.556,4,23
-13.6223,-7.56396,-26.5897,30.8187,33.2423,4,24
-14.5424,-8.08752,-26.066,30.9245,34.4234,4,25
26.1973,8.0732,14.4835,31.0039,0,5,0
27.2982,6.78599,12.4137,30.7464,2.67449,5,1
27.3704,6.70755,12.269,30.7353,2.85426,5,2
27.5007,6.52779,11.9431,30.6845,3.24854,5,3
28.2981,5.36135,9.90745,30.4579,5.72653,5,4
