Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
17.8644,-5.9489,45.5995,49.3339,0,1,0
17.0988,-5.54552,45.9127,49.3062,0.920254,1,1
16.8849,-5.4217,45.9928,49.2934,1.1801,1,2
16.6567,-5.32798,46.0749,49.2822,1.44003,1,3
16.192,-5.15468,46.2313,49.2553,1.96011,1,4
14.9703,-4.68318,46.6512,49.2176,3.33531,1,5
13.5897,-4.18073,47.0342,49.1363,4.85358,1,6
11.8494,-3.52729,47.5288,49.1105,6.77718,1,7
10.8724,-3.1588,47.7472,49.0712,7.84395,1,8
7.71301,-2.06564,48.3409,48.9959,11.2395,1,9
6.10924,-1.49039,48.5905,48.9957,12.9615,1,10
3.39149,-0.58981,48.8532,48.9743,15.8366,1,11
2.53049,-0.292425,48.918,48.9843,16.7498,1,12
-0.198677,0.579616,48.9371,48.941,19.6149,1,13
-1.69539,1.09547,48.924,48.9656,21.1981,1,14
-3.72637,1.73743,48.8181,48.9909,23.3308,1,15
-5.74582,2.36408,48.6514,49.0465,25.4518,1,16
-6.96668,2.77071,48.4566,49.0332,26.7532,1,17
-10.1503,3.7376,47.9042,49.1102,30.126,1,18
-11.0506,4.03461,47.6921,49.1216,31.0975,1,19
-12.0477,4.33977,47.4289,49.1272,32.1729,1,20
-14.4829,5.07008,46.7908,49.2427,34.7941,1,21
-16.8843,5.70123,45.9516,49.2862,37.415,1,22
-18.2545,6.09171,45.4162,49.3251,38.9371,1,23
-18.2463,6.09664,45.3934,49.3017,0,2,0
-17.8469,5.93332,45.6028,49.3288,0.479657,2,1
-15.6042,5.17507,46.405,49.2311,2.97925,2,2
-15.1837,5.02117,46.5566,49.2267,3.45198,2,3
-14.2394,4.68633,46.8597,49.1991,4.49879,2,4
-12.3678,4.06676,47.3936,49.1493,6.54123,2,5
-11.5599,3.78568,47.5791,49.1094,7.41652,2,6
-8.58758,2.81916,48.1962,49.0364,10.6024,2,7
-7.86495,2.5639,48.3305,49.0333,11.3805,2,8
-5.69178,1.83796,48.5957,48.9624,13.687,2,9
-3.409,1.10591,48.8697,49.0009,16.0999,2,10
-1.11349,0.374695,48.9378,48.9519,18.51,2,11
0.745864,-0.242523,48.9489,48.9552,20.4691,2,12
