Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
9.14841,-9.79512,11.7543,17.827,0,1,0
9.15009,-9.14999,11.8499,17.5461,0.652168,1,1
9.14203,-8.60592,11.8867,17.2896,1.19754,1,2
9.04477,-8.22468,11.9518,17.0968,1.59635,1,3
8.91236,-7.66392,12.0309,16.8199,2.17794,1,4
8.76432,-7.09859,12.1032,16.5436,2.76678,1,5
8.45705,-6.1963,12.3481,16.1985,3.75091,1,6
8.39003,-5.9231,12.3991,16.1001,4.0368,1,7
8.009,-5.04636,12.6391,15.791,5.02241,1,8
7.82208,-4.52481,12.7715,15.6451,5.59205,1,9
7.36025,-3.73475,12.9482,15.3551,6.5241,1,10
6.72682,-2.55341,13.3757,15.1881,7.93106,1,11
6.32175,-2.01119,13.5657,15.1009,8.63405,1,12
5.55527,-0.961894,13.8203,14.9261,9.95819,1,13
4.30647,0.489468,14.3673,15.0068,11.9494,1,14
4.30278,0.49415,14.3692,15.0078,11.9557,1,15
3.1545,1.61613,14.6404,15.0634,13.5839,1,16
2.92892,1.84277,14.673,15.0756,13.9053,1,17
1.6037,2.98957,14.8922,15.2737,15.6715,1,18
1.5606,3.03205,14.9068,15.2919,15.7338,1,19
1.5063,3.08023,14.9112,15.3003,15.8065,1,20
0.210753,4.08492,14.9295,15.4797,17.446,1,21
-1.24111,5.21568,14.9333,15.8666,19.2863,1,22
-1.40935,5.32556,14.9193,15.9038,19.4877,1,23
-2.23727,5.85558,14.7845,16.0585,20.48,1,24
-3.56801,6.71775,14.5526,16.4207,22.0825,1,25
-3.79516,6.86259,14.4957,16.481,22.3578,1,26
-4.82519,7.46126,14.1886,16.7413,23.5881,1,27
-4.94549,7.54481,14.1452,16.777,23.7409,1,28
-5.82557,8.08315,13.7767,17.0021,24.8364,1,29
-6.02729,8.2326,13.6891,17.0732,25.1023,1,30
-7.07079,8.86203,13.092,17.3185,26.4594,1,31
-7.71105,9.3774,12.7543,17.6087,27.3479,1,32
-7.72122,9.38076,12.7622,17.6207,0,2,0
-7.50745,8.97487,12.8825,17.4031,0.474254,2,1
-6.69507,7.7861,13.3887,16.8732,2.00049,2,2
-6.64219,7.69149,13.4162,16.8307,2.11232,2,3
-5.97356,6.74336,13.7577,16.4448,3.32171,2,4
-5.96564,6.73023,13.7614,16.4396,3.33749,2,5
-4.81417,5.30047,14.2049,15.9075,5.22607,2,6
-4.8014,5.28214,14.2097,15.9019,5.24892,2,7
-4.66904,5.12804,14.2447,15.8433,5.45506,2,8
-2.80255,2.98193,14.7171,15.2755,8.33824,2,9
-2.64213,2.82952,14.7436,15.2434,8.56109,2,10
-1.18536,1.11467,14.7056,14.7954,10.8115,2,11
-0.734068,0.697754,14.7326,14.7673,11.4265,2,12
1.02443,-1.07243,14.918,14.9915,13.9285,2,13
1.29155,-1.40722,14.9159,15.0377,14.3568,2,14
2.43012,-2.60036,14.7967,15.2187,16.0104,2,15
2.54568,-2.71918,14.7796,15.2417,16.177,2,16
2.56264,-2.73534,14.7763,15.2443,16.2006,2,17
4.64929,-5.0711,14.1798,15.7606,19.389,2,18
5.24804,-5.64454,14.0143,15.9939,20.2344,2,19
6.19603,-6.71976,13.6028,16.3885,21.7258,2,20
6.71719,-7.24714,13.3759,16.63,22.5012,2,21
7.32752,-7.93123,13.0309,16.9234,23.4807,2,22
7.69365,-8.31627,12.8136,17.1038,24.0547,2,23
8.13567,-8.76365,12.5559,17.339,24.7344,2,24
8.41079,-9.08063,12.3779,17.5046,25.1903,2,25
8.98194,-9.65986,11.9592,17.8048,26.1052,2,26
9.15419,-9.79939,11.7696,17.8424,26.3969,2,27
-9.14841,-9.79512,-11.7543,17.827,0,3,0
-9.15009,-9.14999,-11.8499,17.5461,0.652168,3,1
-9.14203,-8.60592,-11.8867,17.2896,1.19754,3,2
-9.04477,-8.22468,-11.9518,17.0968,1.59635,3,3
-8.91236,-7.66392,-12.0309,16.8199,2.17794,3,4
-8.76432,-7.09859,-12.1032,16.5436,2.76678,3,5
-8.45705,-6.1963,-12.3481,16.1985,3.75091,3,6
-8.39003,-5.9231,-12.3991,16.1001,4.0368,3,7
-8.009,-5.04636,-12.6391,15.791,5.02241,3,8
-7.82208,-4.52481,-12.7715,15.6451,5.59205,3,9
-7.36025,-3.73475,-12.9482,15.3551,6.5241,3,10
-6.72682,-2.55341,-13.3757,15.1881,7.93106,3,11
-6.32175,-2.01119,-13.5657,15.1009,8.63405,3,12
-5.55527,-0.961894,-13.8203,14.9261,9.95819,3,13
-4.30647,0.489468,-14.3673,15.0068,11.9494,3,14
-4.30278,0.49415,-14.3692,15.0078,11.9557,3,15
-3.1545,1.61613,-14.6404,15.0634,13.5839,3,16
-2.92892,1.84277,-14.673,15.0756,13.9053,3,17
-1.6037,2.98957,-14.8922,15.2737,15.6715,3,18
-1.5606,3.03205,-14.9068,15.2919,15.7338,3,19
-1.5063,3.08023,-14.9112,15.3003,15.8065,3,20
-0.210753,4.08492,-14.9295,15.4797,17.446,3,21
1.24111,5.21568,-14.9333,15.8666,19.2863,3,22
1.40935,5.32556,-14.9193,15.9038,19.4877,3,23
2.23727,5.85558,-14.7845,16.0585,20.48,3,24
3.56801,6.71775,-14.5526,16.4207,22.0825,3,25
3.79516,6.86259,-14.4957,16.481,22.3578,3,26
4.82519,7.46126,-14.1886,16.7413,23.5881,3,27
4.94549,7.54481,-14.1452,16.777,23.7409,3,28
5.82557,8.08315,-13.7767,17.0021,24.8364,3,29
6.02729,8.2326,-13.6891,17.0732,25.1023,3,30
7.07079,8.86203,-13.092,17.3185,26.4594,3,31
7.71105,9.3774,-12.7543,17.6087,27.3479,3,32
7.72122,9.38076,-12.7622,17.6207,0,4,0
7.50745,8.97487,-12.8825,17.4031,0.474254,4,1
6.69507,7.7861,-13.3887,16.8732,2.00049,4,2
6.64219,7.69149,-13.4162,16.8307,2.11232,4,3
5.97356,6.74336,-13.7577,16.4448,3.32171,4,4
5.96564,6.73023,-13.7614,16.4396,3.33749,4,5
4.81417,5.30047,-14.2049,15.9075,5.22607,4,6
4.8014,5.28214,-14.2097,15.9019,5.24892,4,7
